source,target,score,source_url,target_url
"One more hour of marching and, at last, the order to halt.",ད་དུང་དུས་ཚོད་གཅིག་ལ་འགྲོ་དགོས། མཐར་ཐུག་ངལ་གསོའི་བཀའ་བསྒྲགས།,1.06339,NA,https://latse.org/108-translations/#Night
"But then perhaps my faceless neighbor, afraid of being among the first displaced, simply wanted to get rid of me, to free my bed, to give himself a chance to survive ... Perhaps he only wanted to frighten me. But then again, what if he was telling the truth? I decided to wait and see.",ཡིན་ནའང་གཅིག་བྱས་ན་ངའི་ཉལ་མཚེས་ངོ་གདོང་ཉི་ཚེ་བ་དེ་ཁོ་གསད་བྱ་དང་པོའི་ནང་ཚུད་མི་ཡོང་ངམ་སྙམ་སྟེ་ང་ཕྱིར་འབུད་ཐབས་ཁོ་ན་བྱས་ཏེ་ཁོའི་ཚེ་རྔ་སྐྱོང་བའི་གོ་སྐབས་ཤིག་ཐོབ་ཐབས་བྱེད་ཀྱི་ཡོད་ལས་ཆེ། གཅིག་བྱས་ན་ཁོས་ང་ལ་འཇིགས་སྐུལ་བྱེད་ཀྱི་ཡོད་ལས་ཆེ། ཡིན་ནའང་ཁོས་བརྗོད་བཞིན་པ་དག་བདེན་ཚེ་ཇི་ལྟར་བྱེད་དགོས་སམ། ངས་ཅི་འབྱུང་ལ་སྒུག་པའི་བློ་ཐག་བཅད།,0.687608,NA,https://latse.org/108-translations/#Night
Nobody moved.,གྲག་འགུལ་ཅི་ཡང་མེད།,0.865385,NA,https://latse.org/108-translations/#Night
"The orchestra was playing a military march, always the same. Dozens of Kommandos were marching off, in step, to the work yards. The Kapos were beating the time:",འདི་ནི་དཀྲོལ་རྡུང་རོལ་དབྱངས་ཀྱི་ཁང་བསྟར་ཡིན། “ནང་དུ་སོང་”ཞེས་བཀའ་ཕབ། ང་ཚོ་དེར་ཡ་མཚར། ང་ཚོས་རོལ་དབྱངས་ལ་ཅི་ཞིག་བྱེད་དགོས་སམ།,0.961521,NA,https://latse.org/108-translations/#Night
"We spoke that way almost every evening, remaining in the synagogue long after all the faithful had gone, sitting in the semidarkness where only a few half-burnt candles provided a flickering light.",ངེད་གཉིས་ཀྱིས་ཕལ་ཆེར་དགོང་མོ་རེ་རེར་འདི་ལྟར་གླེང་མོལ་བྱས། ངེད་གཉིས་རྒྱུན་དུ་དད་ལྡན་པ་ཚང་མ་ཆོས་ཁང་དང་བྲལ་ཤུལ་གྱི་མུན་ཁྲོད་དུ་ལུས་ཤིང་དེར་སྦར་འཕྲོ་ཅན་གྱི་ལ་སྒྲོན་རེ་འགས་ནུས་པ་ཉམས་པའི་འོད་སྣང་རེ་སྤྲོ།,0.646607,NA,https://latse.org/108-translations/#Night
Ten thousand prisoners paid their respects.,བཙོན་མ་སྟོང་ཕྲག་གིས་ཞྭ་མོ་ཕུད་དེ་མཐའ་མའི་གུས་འདུད་ཞུས།,0.544231,NA,https://latse.org/108-translations/#Night
“But ... sir. They did write me down!”,“ཡིན་ནའང་ … ཡིན་ནའང་། བྷི་ལོག་ཁེལ་ཋེ་སི་ཋེ་ལགས། ཁོ་ཚོས་ང་ཤོག་ངོར་ཕབ་སོང་།”,1.27212,NA,https://latse.org/108-translations/#Night
We were given new clothing and settled in two tents. We were to wait there until we could be incorporated into work Kommandos. Then we would be assigned to a block.,ང་ཚོར་གྱོན་ཆས་གསར་བ་སྤྲད་རྗེས་རས་གུར་གཉིས་ནང་དུ་གནས་བཅའ་རུ་བཅུག ང་ཚོས་བསྒུགས་ཏེ་ངལ་རྩོལ་རུ་ཁག་ཏུ་ཚུད་རྗེས་བཙོན་ཤག་ནང་དུ་འགྲིམས་ཆོག,0.873827,NA,https://latse.org/108-translations/#Night
"The night had passed completely. The morning star shone in the sky. I too had become a different person. The student of Talmud, the child I was, had been consumed by the flames. All that was left was a shape that resembled me. My soul had been invaded—and devoured—by a black flame.",མཚན་མོ་དེ་ཚར་སོང་། ནམ་ལངས་སྐར་ཆེན་གྱིས་ནམ་མཁར་འོད་སྣང་སྤྲོ་བཞིན་འདུག ང་ཡང་སྔར་དང་མི་འདྲ་བའི་མི་གཞན་ཞིག་ཏུ་གྱུར། བྱིས་པ་ཋལ་མུད་ལ་སློབ་མཁན་གྱི་ང་དེ་མེ་ལྕེས་ཁྱུར་མིད་བྱས། ད་ལྟ་ལྷག་ཡོད་པ་ནི་ངའི་ལུས་དབྱིབས་ཙམ་ཡིན། མེ་ལྕེ་ནག་པོ་ཞིག་ངའི་སྙིང་ཁམས་སུ་མཆེད་ཅིང་སྙིང་ཁམས་དེ་ཡོངས་སུ་རྔམ་ཟ་བྱས།,0.623615,NA,https://latse.org/108-translations/#Night
"At dawn, we were in the street, ready to leave. This time, there were no Hungarian police. It had been agreed that the Jewish Council would handle everything by itself.",ཞོགས་ཀར་ང་ཚོ་སྲང་ལམ་ན་ཡོད་ཅིང་། འགྲོ་བའི་སྟ་གོན་ཡོངས་སུ་རྫོགས། ཐེངས་འདིར་འདི་གར་ཧང་གྷ་རིའི་ཉེན་རྟོག་པ་མེད། གྲོས་མཐུན་ཞིག་བཞག་ཡོད་དེ། དེ་ནི་ཇིའུ་པའི་སྐྱིད་སྡུག་ཚོགས་པ་རང་གིས་རང་མི་ཚང་མ་མགོ་འདོམས་བྱེད་དགོས་པ་དེ་ཡིན།,1.02046,NA,https://latse.org/108-translations/#Night
“Auschwitz.”,“ཨོ་ཤི་ཝི་ཚི་”,0.853846,NA,https://latse.org/108-translations/#Night
"“Sons of bitches, why have you come here? Tell me, why?”",“བུ་ཆུང་། ཁྱོད་ཚོ་འདིར་ཅི་ལ་ཡོང་བ་ཡིན། ཁྱོད་ཚོས་འདིར་ཅི་བྱེད་ཀྱི་ཡོད།”,0.973759,NA,https://latse.org/108-translations/#Night
"Unfortunately, Franek knew how to handle this; he knew my weak spot. My father had never served in the military and could not march in step. But here, whenever we moved from one place to another, it was in step. That presented Franek with the opportunity to torment him and, on a daily basis, to thrash him savagely. Left, right: he punched him. Left, right: he slapped him.",ཀྱེ་ཧུད། ཧྥི་ར་ནེག་ཡིས་ངའི་གང་ལ་རེག་དགོས་པ་སྟེ། ངའི་ན་སའི་གནད་དེ་ཤེས་འདུག ངའི་ཨ་ཕ་དམག་དོན་གྱི་ལས་ལ་གཏན་ནས་ཞུགས་མ་མྱོང་ཞིང་། གོམ་སྟབས་གཅིག་འགྲོས་ཀྱི་དཔུང་སྐྱོད་ནང་གོམ་ཚིགས་སྟངས་འཛིན་བྱེད་མི་ཤེས། འདིར་དུས་གང་ཞིག་ལ་ཡང་གནས་ཤིག་ནས་གནས་གཞན་དུ་འགྲོ་ན་དཔུང་སྐྱོད་བྱེད་དགོས་ཤིང་། ང་ཚོ་འགྲོས་སྟབས་རྣལ་མོས་སྐྱོད་དགོས། འདི་ནི་ཧྥི་ར་ནེག་ཡིས་ངའི་ཨ་ཕ་ལ་ཉིན་རྟག་པར་གཏུམ་དྲག་གིས་མནར་གཅོད་དང་གཅར་རྡུང་བྱེད་པའི་གོ་སྐབས་ཡིན། གཡོན་དང་གཡས་སུ་ཁུ་ཚུར་གཅིག གཡོན་དང་གཡས་སུ་འགྲམ་ལྕག་གཅིག,0.991215,NA,https://latse.org/108-translations/#Night
“It’s over. God is no longer with us.”,“ད་ཚར་འདུག དཀོན་མཆོག་ང་ཚོ་དང་མཉམ་དུ་བཞུགས་མི་འདུག”,0.321875,NA,https://latse.org/108-translations/#Night
"We stood. We were counted. We sat down. We got up again. Over and over. We waited impatiently to be taken away. What were they waiting for? Finally, the order came:",ཡར་ལངས། གྲངས་ཀ་བགྲངས། མར་བསྡད། ཡང་བསྐྱར་ཡར་ལངས། གནས་གཅིག་ཏུ་ཐེངས་མང་དང་ཚར་རྒྱུ་མེད་པར་དེ་ལྟར་བྱས། ཁོ་ཚོས་ཅི་ཞིག་ལ་སྒུག་ཡོད་དམ། མཐའ་མཇུག་བཀའ་བསྒྲགས།,1.20752,NA,https://latse.org/108-translations/#Night
"We were able to breathe again. My father had a present for me: a half ration of bread, bartered for something he had found at the depot, a piece of rubber that could be used to repair a shoe.",ད་ནི་ང་ཚོའི་མགྲིན་དབུགས་བདེ་བར་ཁྲོལ་བ་ལ་ཨང་། ཨ་ཕས་ངར་ལག་རྟགས་ལ་ཟས་སྐལ་ཕྱེད་ཀ་ཅན་གྱི་བག་ལེབ་ཅིག་ཁྱེར་ཡོང་འདུག་ལ། དེ་ནི་ཁོས་འགྱིག་གི་ཀོ་ལེབ་ཞིག་ལ་བརྗེས་པ་ཡིན་ཟེར། འགྱིག་ཀོ་དེ་ཁོང་གིས་དོས་ཁང་དུ་བརྙེད་ཅིང་ལྷམ་གྱི་ཕྱི་རྟིང་ལ་ལྷན་པར་ཕན།,0.881385,NA,https://latse.org/108-translations/#Night
"I spent my days in total idleness. With only one desire: to eat. I no longer thought of my father, or my mother.",ངས་ངའི་ཉི་མ་རྣམས་ནི་ཅི་ཡང་བྱེད་རྒྱུ་མེད་པའི་གནས་སྟངས་འོག་ཏུ་བསྐྱལ། འདོད་པ་གཅིག་ཡོད་པ་ནི་ཟ་མ་ཟ་རྒྱུ་དེ་ཁོ་ན་ཡིན། ངས་རང་གི་ཨ་ཕ་དང་རང་གི་ཨ་མ་དྲན་མཚམས་ཆད།,0.719591,NA,https://latse.org/108-translations/#Night
"Two Gestapo officers strolled down the length of the platform. They were all smiles; all things considered, it had gone very smoothly.",གྷེ་སི་ཋ་ཕོ་གཉིས་མེ་འཁོར་སྒུག་སྟེགས་སྟེང་དུ་ཕར་འགྲོ་ཚུར་འོང་བྱེད་ཅིང་འཛུམ་དམུལ་བཞིན་ཡོད་པ་དེས་ཐམས་ཅད་ཚགས་ཚུད་པོ་བྱུང་ཞིང་། ཚང་མ་བདེ་བླག་ངང་གྲུབ་སོང་སྙམ་གྱི་ཡོད་པ་མཚོན།,0.705556,NA,https://latse.org/108-translations/#Night
"Day after day, night after night, he went from one Jewish house to the next, telling his story and that of Malka, the young girl who lay dying for three days, and that of Tobie, the tailor who begged to die before his sons were killed.",ཉིན་མཚན་དུ་མར་ཁོ་ཇིའུ་པའི་ཁྱིམ་གཅིག་ནས་གཅིག་ཏུ་སོང་སྟེ། འཆི་བར་ཉིན་གསུམ་འགོར་བའི་བུ་མོ་མལ་ཁ་དང་། རང་གི་བུ་ཚོའི་སྔོན་དུ་རང་ཉིད་གསོད་པར་ཞུ་བ་འཐེན་པའི་འཚེམ་བུ་པ་ཋོ་བྷི་ཡ་སི་ཡི་གཏམ་རྒྱུད་བཤད།,0.844738,NA,https://latse.org/108-translations/#Night
“While you were asleep?”,“ཁྱོད་གཉིད་ཁུག་པའི་སྐབས་སུ་ཡིན་ནམ།”,0.831818,NA,https://latse.org/108-translations/#Night
