source,target,source_url,target_url,alignment_score
དེ་ལྟར་ན་རབ་ཏུ་བྱུང་བའི་མཚན་པདྨ་ཨཱ་ཀ་ར་སྟེ་པདྨ་འབྱུང་གནས།དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་གསང་མཚན།,"This caused the entire Turkish army—seven large ships, about five hundred small wooden boats and those swimming—to sink to the bottom of the river.",https://www.lotsawahouse.org/bo/tibetan-masters/taranatha/three-reasons-for-confidence,https://www.lotsawahouse.org/tibetan-masters/taranatha/three-reasons-for-confidence,0.0618304
དེས་ན་དང་པོ་མི་རྟག་པའི་རྣམ་པ་ནས་བཟུང་སྟེ་མཐར་སངས་རྒྱས་ཉིད་ཀྱི་རྣམ་པའི་བར་ཐམས་ཅད་བདེན་གཉིས་ཟུང་འཇུག་གི་ཚུལ་དུ་བསྒོམས་ཏེ་རྟོགས་པ་མ་སྐྱེས་པ་བསྐྱེད་པར་བྱེད་པ་ལ་རྟོགས་པ་དབང་དུ་བྱ་བ་ཞེས་བྱའོ། །,"Then, what stabilizes realization is connecting all earlier and later meditations that previously arose in the mind and actualizing them in the proper sequence.",https://www.lotsawahouse.org/bo/tibetan-masters/patrul-rinpoche/sherchin-gomrim,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/sherchin-gomrim,0.635749
བླ་མའི་དྲིན་གྱིས་འདི་ལ་དཔྱད་པ་ན། །,"When, through the kindness of the guru, I do apply analysis,",https://www.lotsawahouse.org/bo/tibetan-masters/jamyang-khyentse-chokyi-lodro/song-of-definitive-mahamudra,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/song-of-definitive-mahamudra,1.36286
རྒྱལ་སྲས་རྣམས་ཀྱི་ལག་ལེན་སུམ་ཅུ་བདུན། །,"Based on what is taught in the sūtras, tantras and treatises,",https://www.lotsawahouse.org/bo/tibetan-masters/gyalse-thogme-zangpo/37-practices-all-bodhisattvas,https://www.lotsawahouse.org/tibetan-masters/gyalse-thogme-zangpo/37-practices-all-bodhisattvas,0.585
མདོར་ན་འཁོར་བའི་བྱ་བ་ཐམས་ཅད་ཆེ་བཞག་ཆུང་སྐྱུར་གང་ཐུབ་གྱིས།,So be content with only the most basic food and clothing.,https://www.lotsawahouse.org/bo/tibetan-masters/dilgo-khyentse/advice-three-year-retreatants,https://www.lotsawahouse.org/tibetan-masters/dilgo-khyentse/advice-three-year-retreatants,0.2375
བཤད་བྱ་དངོས་བཤད་པ་གཉིས་ལས།,I. The Preliminary Points to be Explained,https://www.lotsawahouse.org/bo/tibetan-masters/patrul-rinpoche/preliminary-points,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/preliminary-points,0.2
ཡོངས་བཞེངས་རྒྱལ་དབང་པདྨ་སམ་བྷ་བའི། །,"Powerful Lord of the victorious ones, Padmasambhava,",https://www.lotsawahouse.org/bo/tibetan-masters/khenpo-pema-vajra/prajnaparamita-overview,https://www.lotsawahouse.org/tibetan-masters/khenpo-pema-vajra/prajnaparamita-overview,0.552252
ཐོག་མར་ལྷན་སྐྱེས་ཀུན་བརྟགས་ཀྱི། །,"Initially, use your intellect to analyse thoroughly",https://www.lotsawahouse.org/bo/tibetan-masters/jamyang-khyentse-wangpo/essence-of-nectar,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-wangpo/essence-of-nectar,0.622689
ལྷ་བཙུན་ནམ་མཁའ་འཇིགས་མེད་ཀྱི་སྐུ་ཕྲེང་གཉིས་པ་འགྱུར་མེད་རྡོ་རྗེ་འམ།,Incarnations of Lhatsün Namkha Jigme,https://www.lotsawahouse.org/bo/tibetan-masters/jamyang-khyentse-chokyi-lodro/chogyal-puntsok-rigdzin,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/chogyal-puntsok-rigdzin,0.490909
གང་ཚེ་དངོས་དང་དངོས་མེད་དག །,When the notions of real and unreal,https://www.lotsawahouse.org/bo/tibetan-masters/patrul-rinpoche/two-truths-view-mahayana,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/two-truths-view-mahayana,0.278571
ཆོས་བརྒྱད་བྱ་བ་ཐབས་ཀྱིས་སྤང་ནུས་བྱུང༔,of the eight worldly concerns.,https://www.lotsawahouse.org/bo/tibetan-masters/sera-khandro/excellent-path-of-devotion,https://www.lotsawahouse.org/tibetan-masters/sera-khandro/excellent-path-of-devotion,0.606349
མཁན་པོ་དང་ལོ་ཙཱ་བ་རྣམས་ཀྱིས་ཀྱང་མཐུན་འགྱུར་མཛད༔ཆོས་རྒྱལ་ཆེན་པོས་རྗེས་སུ་ཡི་རང་བ་དང་༔གྲོགས་མཛད་པའི་སྨོན་ལམ་བཏབ་བོ༔,"the Mahāguru prayed, as this request was echoed by the abbot and lotsāwas , while the Dharma King rejoiced and made his own aspirations to help.",https://www.lotsawahouse.org/bo/tibetan-masters/ngakchang-shakya-zangpo/great-history-of-jarung-kashor-stupa,https://www.lotsawahouse.org/tibetan-masters/ngakchang-shakya-zangpo/great-history-of-jarung-kashor-stupa,0.062069
སོ་སོའི་དགོངས་འགྲེལ་གཉིས།,"b) Unraveling the profound, as in the case of the Ornament of Realization",https://www.lotsawahouse.org/bo/tibetan-masters/ngawang-tendar/on-literary-composition,https://www.lotsawahouse.org/tibetan-masters/ngawang-tendar/on-literary-composition,0.384615
