source,target,extraction_class,url,topics
ཁྱད་པར་ཉེ་བའི་སྲས་ཆེན་བརྒྱད། །,And especially the Eight Great Close Sons—,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/princess-sangde-passing-aspiration,"https://www.lotsawahouse.org/topics/aspiration-prayers
https://www.lotsawahouse.org/topics/sikkim"
སྡུག་བསྔལ་བཟོད་དཀའ་ཡ་རེ་ང་། །,Where suffering is so terribly hard to bear!,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/excellent-path-to-perfect-liberation,"https://www.lotsawahouse.org/topics/avalokiteshvara
https://www.lotsawahouse.org/topics/dying-bardos
https://www.lotsawahouse.org/topics/longchen-nyingtik"
སླར་ཡང་ལོ་ཙཱ་བརྒྱ་དང་བརྒྱད་བསྡུས་ཏེ། །,"This gathering of the hundred and eight lotsawas,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-wangpo/beautiful-wondrous-udumbara-garland,https://www.lotsawahouse.org/topics/guru-rinpoche-prayers
རྡོ་རྗེ་གདན་དུ་པཎ་ཆེན་ཉི་ཤུ་ལྔར། །,"In Bodhgaya they meet with twenty-five paṇḍitas,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-wangpo/beautiful-wondrous-udumbara-garland,https://www.lotsawahouse.org/topics/guru-rinpoche-prayers
འཁོར་ཚེ་ཐོག་མ་མེད་ནས་ད་ལྟའི་བར། །,"From beginningless time in saṃsāra till now,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/prayer-of-devotion,https://www.lotsawahouse.org/topics/guru-rinpoche-prayers
འགྲོ་བའི་མར་མེ་ཡེ་ཤེས་སྒྲོན།  །,"The lamp of beings, the torch of wisdom,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/manjushri-light-offering,"https://www.lotsawahouse.org/topics/light-offering-prayers
https://www.lotsawahouse.org/topics/manjushri"
ཨོཾ་བཛྲ་ཀྲོ་དྷ་མ་ཧཱ་པ་ལ་ཧ་ན་ཧ་ན་པ་ཙ་བི་དྷྭཾ་ས་ཡ་ཛ་ཊི་ལམྦོ་དྷ་རི་ཨུ་ཙུཥྨ་ཀྲོ་དྷ་ཧཱུཾ་ཕཊ།,oṃ vajrakrodha mahābala hana daha paca vidhvaṃsaya jaṭilambodari ucchuṣma krodha hūṃ phaṭ ||,TibetanVerse|EnglishText,https://www.lotsawahouse.org/words-of-the-buddha/dorje-dermo-dharani,"https://www.lotsawahouse.org/topics/dharani
https://www.lotsawahouse.org/topics/vajranakhi"
མེ་ལྕེ་ཡེ་ཤེས་འོད་ལྔའི་མཆོད་སྦྱིན་ཟེར༔,"May these flames, offering-rays of five-coloured lights of wisdom,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/lhatsun-namkha-jigme/mountain-smoke-offering,https://www.lotsawahouse.org/topics/sang-offering
ཁམས་གསུམ་འགྲོ་ཀུན་གཅིག་ཀྱང་མ་ལུས་པ༔,"In the infinite display of form that manifests out of the ground,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/manjushri-light-offering,"https://www.lotsawahouse.org/topics/light-offering-prayers
https://www.lotsawahouse.org/topics/manjushri"
སྒྲིབ་པའི་མུན་པ་འཐིབ་པོ་འཇོམས་གྱུར་ཅིག །,Banish the dense darkness of mind’s obscurations!,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/mipham/great-perfection-manjushri,"https://www.lotsawahouse.org/topics/dzogchen
https://www.lotsawahouse.org/topics/manjushri"
དོན་གཉིས་ལྷུན་གྲུབ་ཆོས་ཀྱི་རྗེ། །,"Lord of Dharma, you spontaneously accomplish twofold benefit—",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/prayer-to-karmapa-incarnations,"https://www.lotsawahouse.org/topics/kagyu
https://www.lotsawahouse.org/topics/prayers"
བཅོམ་ལྡན་མགོན་པོ་ཡེ་ཤེས་ཚེ་དཔག་མེད༔,"Presides the enlightened one, the lord of wisdom and longevity, Amitāyus,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/tulku-zangpo-drakpa/leu-dunma-chapter-2,"https://www.lotsawahouse.org/topics/leu-dunma
https://www.lotsawahouse.org/topics/nyingma-monlam"
མི་འདའ་རྡོ་རྗེའི་ཁྲི་ལ་བཞུགས་སུ་གསོལ། །,I pray: do not pass but remain upon the vajra throne!,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-chokyi-lodro/three-manjughoshas-of-tibet-guru-yoga,https://www.lotsawahouse.org/topics/guru-yoga
མོས་གུས་སྙིང་རྗེ་བསྐྱེད་རྫོགས་ཐབས་ལམ་ལ། །,"And, through enduring hardships while cultivating devotion and compassion",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/prayer-recalling-life-and-liberation,"https://www.lotsawahouse.org/topics/biography
https://www.lotsawahouse.org/topics/prayers"
སྤྲུལ་སྐུ་པདྨ་འབྱུང་གནས་ལ་ཕྱག་འཚལ་ལོ། །,Nirmanakāya Padmākara: homage to you!,TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-wangpo/beautiful-wondrous-udumbara-garland,https://www.lotsawahouse.org/topics/guru-rinpoche-prayers
མཐིང་ནག་དབུ་གསུམ་ཕྱག་དྲུག་པ༔,"Dark blue in colour, with three heads, six hands,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-wangpo/palchen-dupa-essential-activity-manual,https://www.lotsawahouse.org/topics/longchen-nyingtik
དེ་ལྟར་འདི་ལའང་སྩལ་དུ་གསོལ། །,"Grant it here in the just same way, we pray!",TibetanVerse|EnglishText,https://www.lotsawahouse.org/tibetan-masters/jamyang-khyentse-wangpo/rain-of-virtue-and-goodness,https://www.lotsawahouse.org/topics/consecration
རྡོ་རྗེ་གཞོན་ནུ་རིགས་འཛིན་མ། །,"Vajrakaumārī, Kulaṃdarī,",TibetanVerse|EnglishText,https://www.lotsawahouse.org/words-of-the-buddha/dukkar-chokdrupma,"https://www.lotsawahouse.org/topics/dharani
https://www.lotsawahouse.org/topics/sitatapatra"
