,nirv,nirv_source,tot11,tot11_source,ntb,ntb_source,ctb,ctb_source
1SA 25:23,"When Abigail saw David, she quickly got off her donkey. She bowed down in front of David with her face toward the ground.",https://www.bible.com/bible/110/1SA.25.NIRV,ཨ་བྷི་གེལ་གྱིས་དཱ་བིད་མཐོང་མ་ཐག་ཏུ་མྱུར་བར་བོང་བུ་ལས་མར་བབ་ནས་ལུས་ས་ལ་བརྡབས་ཏེ།,https://www.bible.com/bible/1712/1SA.25.TOT11,,,,
JHN 5:15,The man went away. He told the Jewish leaders it was Jesus who had made him well.,https://www.bible.com/bible/110/JHN.5.NIRV,,,དེ་ནས་མི་དེ་ཡ་ཧུ་དཱ་པ་རྣམས་ཀྱི་གམ་དུ་སོང༌སྟེ། རང་གི་ནད་འཇོམས་པར་མཛད་མཁན་དེ་ནི་སྐྱབས་མགོན་ཡེ་ཤུ་ཡིན་པར་སྨྲས༌སོ།།,https://www.bible.com/bible/1933/JHN.5.NTB,མི་དེ་ཕར་ཕྱིན་ནས་ཡ་ཧུ་དཱ་པའི་དཔོན་རིགས་ཚོར་རང་གི་ནད་སེལ་མཁན་དེ་ནི་ཡེ་ཤུ་རེད་ཅེས་བཤད།,https://www.bible.com/bible/2378/JHN.5.CTB
EZK 10:22,Their faces looked the same as the ones I had seen by the Kebar River. Each of the cherubim went straight ahead.,https://www.bible.com/bible/110/EZK.10.NIRV,དེ་ཚོའི་གདོང་ནི་ངས་ཆུ་བོ་ཀེ་བར་རུ་མཐོང་བ་ལྟར་འདྲ་མཚུངས་འདུག་གོ དེ་ཚོ་རེ་རེ་བཞིན་མདུན་དུ་ཁ་ཐུག་ལ་འགྲོ་བཞིན་འདུག་གོ།,https://www.bible.com/bible/1712/EZK.10.TOT11,,,,
2SA 22:40,"Lord , you gave me strength to fight the battle. You caused my enemies to be humble in front of me.",https://www.bible.com/bible/110/2SA.22.NIRV,དམག་འཐབ་བྱེད་ཕྱིར་སྟོབས་ཤུགས་ཁྱེད་ཀྱིས་གནང་། དགྲ་བོའི་སྟེང་དུ་རྒྱལ་ཁ་ཁྱེད་ཀྱིས་གནང་།,https://www.bible.com/bible/1712/2SA.22.TOT11,,,,
ACT 17:3,He explained and proved that the Messiah had to suffer and rise from the dead. “This Jesus I am telling you about is the Messiah!” he said.,https://www.bible.com/bible/110/ACT.17.NIRV,,,སྐྱབས་མགོན་མཱ་ཤི་ཀས་ངེས་པར་སྡུག་བསྔལ་མྱངས༌ཤིང༌། སྐུ་གྲོངས་པ་ནས་སླར་གསོན་པའི་སྐོར་འགྲེལ་བཤད་བྱས་པ་དང་རྒྱུ་མཚན་བསྟན་ཏེ་ཡང་འདི་སྐད༌དུ། ངས་ཁྱོད་རྣམས་ལ་སྨྲས་པའི་ཡེ་ཤུ་ཞེས་པ་འདི་ནི་སྐྱབས་མགོན་མཱ་ཤི་ཀ་ཡིན་ཞེས་གསུངས་སོ།།,https://www.bible.com/bible/1933/ACT.17.NTB,མཱ་ཤི་ཀ་སྡུག་བསྔལ་མྱོང་ནས་སླར་གསོན་པོར་འགྱུར་དགོས་པར་གསལ་བཤད་དང་ར་སྤྲོད་བྱས། པའུ་ལུས་“ངས་ཁྱེད་རྣམས་ལ་སྒྲོག་བཞིན་པའི་ཡེ་ཤུ་ནི་མཱ་ཤི་ཀ་ཡིན་ནོ་”ཞེས་གསུངས།,https://www.bible.com/bible/2378/ACT.17.CTB
JER 28:15,"Then Jeremiah the prophet spoke to the false prophet Hananiah. Jeremiah said, “Listen, Hananiah! The Lord hasn’t sent you. But you have tricked these people. Now they trust in lies.",https://www.bible.com/bible/110/JER.28.NIRV,དེ་ནས་མུ་མཐུད་ཀྱིས་ཧ་ནན་ཡཱ་ཉོན་ཞིག་སྨྲས་སོ། གཙོ་བོ་དཀོན་མཆོག་གིས་ཁྱོད་ལ་བཏང་བ་མིན་པ་དང་། ཁྱོད་ཀྱིས་མི་མང་འདི་ཚོར་རྫུན་ལ་ཡིད་ཆེས་བྱེད་དུ་འཇུག་ཡོད་དོ།,https://www.bible.com/bible/1712/JER.28.TOT11,,,,
PRO 24:10,"If you grow weak when trouble comes, your strength is very small!",https://www.bible.com/bible/110/PRO.24.NIRV,དཀའ་ངལ་ཀྱི་སྐབས་སུ་ཁྱོད་སྟོབས་ཆུང་བ་ཡིན་ན། ཁྱོད་ངེས་གཏན་སྟོབས་ཆུང་ཡིན་ནོ༎,https://www.bible.com/bible/1712/PRO.24.TOT11,,,,
ACT 13:23,“From this man’s family line God has brought to Israel the Savior Jesus. This is what he had promised.,https://www.bible.com/bible/110/ACT.13.NIRV,,,དཱ་བིད་ཀྱི་རིགས་རྒྱུད་ལས་དཀོན་མཆོག་གིས་རང་ཉིད་ཀྱི་ཞལ་བཞེས༌ལྟར། ཡེས་ར་ཨེལ་པ་རྣམས་ལ་སྐྱབས་མགོན་དུ་ཡེ་ཤུ་མངགས་པ་ཡིན་ནོ།།,https://www.bible.com/bible/1933/ACT.13.NTB,དཀོན་མཆོག་གིས་ཞལ་ཆད་གནང་བ་ལྟར། དཱ་བིད་ཀྱི་རྒྱུད་པ་རྣམས་ལས་ཁོང་གིས་ཡི་སི་ར་ཨེལ་ལ་སྐྱབས་མགོན་ཡེ་ཤུ་གནང་བ་ཡིན།,https://www.bible.com/bible/2378/ACT.13.CTB
JER 25:23,"Dedan, Teman, Buz all the other places far away in the east",https://www.bible.com/bible/110/JER.25.NIRV,,,,,,
ISA 29:22,"Long ago the Lord saved Abraham from trouble. Now he says to Jacob’s people, “You will not be ashamed anymore. Your faces will no longer grow pale with fear.",https://www.bible.com/bible/110/ISA.29.NIRV,དེར་བརྟེན་ད་ལྟ་ཨབ་ར་ཧམ་ལ་དཀའ་ངལ་ལས་སྐྱོབས་གནང་མཁན། གཙོ་བོ་དཀོན་མཆོག་ཨིསི་རཱཨེལ་གྱི་དཀོན་མཆོག་གིས་གསུངས་པ། ངའི་མི་མང་ཚོ། ད་དུང་ཁྱོད་ཚོར་དམའ་འབེབས་མི་ཡོང་བ་དང། ཁྱོད་ཚོའི་གདོང་པ་ངོ་ཚས་སེར་པོར་ནམ་ཡང་འགྱུར་མི་ཡོང།,https://www.bible.com/bible/1712/ISA.29.TOT11,,,,
