,en,bo,en_source,bo_source,index
5364,"Don’t let your hearts turn away from the Lord . Instead, obey him. Don’t let yourselves be drawn away to other gods. And don’t bow down to them and worship them.",འོན་ཀྱང་ཁྱོད་ཚོས་དེ་མ་ཉན་པར། ཁོང་ལ་ལོག་ལྟ་ཞུས་ཏེ། ལྷ་རྟེན་གཞན་ལ་མཆོད་པ་ཡིན་ན།,https://www.bible.com/bible/110/DEU.30.NIRV,https://www.bible.com/bible/1712/DEU.30.TOT11,DEU 30:17
11219,So the Levites stood ready with David’s musical instruments. And the priests had their trumpets ready.,རོལ་མོའི་ཡོ་བྱད་ནི་རྒྱལ་པོ་དཱ་བིད་ཀྱིས་བེད་སྤྱོད་གནང་བ་ལྟར་ཡོད། དེར་བླ་མ་ཚོས་ཡང་དུང་ཆེན་འཁྱེར་ནས་ལངས་བ་ཡང་ཡོད་དོ།,https://www.bible.com/bible/110/2CH.29.NIRV,https://www.bible.com/bible/1712/2CH.29.TOT11,2CH 29:26
9571,"The king of Assyria brought people from Babylon, Kuthah, Avva, Hamath and Sepharvaim. He made all of them live in the towns of Samaria. They took the place of the people of Israel. They lived in all the towns of Samaria.",ཨ་སུར་གྱི་རྒྱལ་པོ་ཆེན་པོས་བྷེ་བྷི་ལོན་དང་ཀུཐ་དང་ཨི་ཝཱ་དང་ཧ་མད་དང་སེ་ཕར་ཝེམ་བཅས་ཀྱི་གྲོང་ཁྱེར་རྣམས་ནས་མི་རྣམས་འཁྲིད་ནས། དེ་ཚོར་བཙོན་དུ་འཁྲིད་ནས་སོང་བའི་ཨིསི་རཱཨེལ་པ་ཚོའི་ཚབ་དུ་ས་མར་ཡའི་གྲོང་ཁྱེར་རྣམས་སུ་གཞིས་ཆགས་བཅུག་གོ དེ་ཚོས་གྲོང་ཁྱེར་དེ་ཚོ་ཚང་མ་བདག་བཟུང་གྱིས་ནས་དེར་གནས་སྡོད་བྱས་སོ།,https://www.bible.com/bible/110/2KI.17.NIRV,https://www.bible.com/bible/1712/2KI.17.TOT11,2KI 17:24
5680,Look at our bread. It was warm when we packed it. We packed it at home the day we left to come and see you. But look at how dry and moldy it is now.,ང་ཚོའི་ལམ་ཟས་བག་ལེབ་འདི་ལ་གཟིགས་དང་། ཁྱེད་རྣམས་དང་ཐུགས་འཕྲད་བྱེད་ཕྱིར་ཐོག་མར་ང་ཚོ་ནང་ནས་འཐོན་སྐབས་བག་ལེབ་འདི་ཚོ་གསོས་པ་ཡིན་ཏེ། ད་འདི་ཚོ་སྐམ་ནས་ཧམ་དྲི་བརྒྱབ་ཚར་འདུག,https://www.bible.com/bible/110/JOS.9.NIRV,https://www.bible.com/bible/1712/JOS.9.TOT11,JOS 9:12
4740,Live exactly as the Lord your God has commanded you to live. Then you will enjoy life in the land you will soon own. Things will go well with you there. You will live there for a long time.,དེ་ཚོ་ཚང་མ་སྲུང་པ་ཡིན་ན། ཁྱོད་ཚོའི་ལས་དོན་ཚང་མ་འགྲུབ་ཅིང་། ཁྱོད་ཚོས་བདག་ཏུ་འཛིན་རྒྱུ་ཡིན་པའི་ཡུལ་དེར་ཁྱོད་ཚོ་མུ་མཐུད་ཀྱིས་གནས་སྡོད་བྱེད་པར་འགྱུར་རོ༎,https://www.bible.com/bible/110/DEU.5.NIRV,https://www.bible.com/bible/1712/DEU.5.TOT11,DEU 5:33
7605,David made that a law and a rule for Israel. It has been followed from that day until now.,དཱ་བིད་ཀྱིས་ལམ་སྲོལ་དེ་བཟོས་པ་ནས་བཟུང་ཨིསི་རཱཨེལ་དུ་དེ་བཞིན་ལག་ལེན་བསྟར་བཞིན་པ་ཡིན་ནོ།,https://www.bible.com/bible/110/1SA.30.NIRV,https://www.bible.com/bible/1712/1SA.30.TOT11,1SA 30:25
9264,"Some time later, Ben-Hadad gathered his entire army together. Ben-Hadad was the king of Aram. His army marched up and surrounded Samaria. Then they attacked it.",དུས་འགའ་ཤས་ཀྱི་རྗེས་ལ་སི་རི་ཡའི་རྒྱལ་པོ་བྷིན་ཧ་དྷད་ཀྱི་ཁོང་རང་གི་དམག་མི་ཡོངས་རྫོགས་ཨིསི་རཱཨེལ་དུ་འཁྲིད་ནས་ས་མར་ཡ་གྲོང་ཁྱེར་མཐའ་སྐོར་རོ།,https://www.bible.com/bible/110/2KI.6.NIRV,https://www.bible.com/bible/1712/2KI.6.TOT11,2KI 6:24
8847,"There was war between Asa and Baasha, the king of Israel. It lasted the whole time they were kings.",ཡ་ཧུ་དཱའི་རྒྱལ་པོ་ཨ་ས་དང་ཨིསི་རཱཨེལ་གྱི་རྒྱལ་པོ་བྷ་ཤ་གཉིས་ཀྱི་སྐུ་དབང་ཡོད་རིང་དུ་ཕན་ཚུན་གཉིས་དབར་དམག་འཁྲུགས་རྒྱུན་མ་ཆད་པར་གནས་སོ༎,https://www.bible.com/bible/110/1KI.15.NIRV,https://www.bible.com/bible/1712/1KI.15.TOT11,1KI 15:32
17427,Foolish people say foolish things. Their minds are set on doing evil things. They don’t do what is right. They tell lies about the Lord . They don’t give hungry people any food. They don’t let thirsty people have any water.,གླེན་པ་ཞིག་གིས་གླེན་པའི་ཐོག་སྨྲས་པ་དང་། ཁོས་ངན་རིགས་བྱས་པར་བསམ་པ་དང་། ཁོས་གང་བྱས་པ་དང་གང་ལབ་པ་རྣམས་གཙོ་བོ་དཀོན་མཆོག་ལ་དམའ་འབེབས་ཡིན་ནོ། མི་ལྟོགས་པ་ལ་ཁ་ཟས་མི་སྟེར་བ་དང། སྐོམ་པའི་མི་ལ་ཆུ་མི་སྟེར་རོ།,https://www.bible.com/bible/110/ISA.32.NIRV,https://www.bible.com/bible/1712/ISA.32.TOT11,ISA 32:6
20822,The southern border of Gad will run south from Tamar to the waters of Meribah Kadesh. It will continue along the Wadi of Egypt. It will end at the Mediterranean Sea.,ལྷོ་ཕྱོགས་སུ་གྷཌ་ཀྱི་སྡེ་རིགས་ལ་སྤྲད་པའི་ཆ་ཤས་ཀྱི་ས་མཚམས་ནི། ལྷོ་ནུབ་ཏུ་ཏ་མཱར་ནས་ཀ་དྷེཤི་ཀྱི་བྱེ་ཐང་ཤིང་ཚལ་དང་། དེ་ནས་བྱང་ནུབ་ཏུ་ཨི་ཇིབ་པའི་ས་མཚམས་ནས་མེ་ཌི་ཊ་རེ་ནི་ཡན་གྱི་རྒྱ་མཚོའི་བར་ཁྱབ་ཡོད་པ་དང་།,https://www.bible.com/bible/110/EZK.48.NIRV,https://www.bible.com/bible/1712/EZK.48.TOT11,EZK 48:28
13073,It ranks first among my works. I made it. I can approach it with my sword.,ང་ཡི་བཀོད་པའི་སྲོག་ཆགས་དེ་ཚོའི་ནང་། ཁྱད་ཆོད་ཆེ་ཤོས་བཀོད་པ་གཅིག་པུ་དེ། དེ་ལ་བཀོད་མཁན་གཅིག་པུས་དབང་ཐུབ་བོ།,https://www.bible.com/bible/110/JOB.40.NIRV,https://www.bible.com/bible/1712/JOB.40.TOT11,JOB 40:19
261,The area where they lived stretched from Mesha toward Sephar. It was in the eastern hill country.,དེ་དག་རྣམས་བསྡད་པའི་ས་གནས་ནི་མེ་ཤ་ཞེས་པའི་ས་ནས་ཤར་ཕྱོགས་སུ་ཡོད་པའི་སེ་ཕར་ཞེས་པའི་རིའི་བར་དུ་ཡོད་དོ།,https://www.bible.com/bible/110/GEN.10.NIRV,https://www.bible.com/bible/1712/GEN.10.TOT11,GEN 10:30
14030,I hold on to you tightly. Your powerful right hand takes good care of me.,ང་ནི་ཁྱེད་མཉམ་འབྱར་ནས་སྡོད་ཀྱི་ཡིན། ཁྱེད་ཀྱི་ཕྱག་གིས་ཁམ་བཟང་བཞག་གནང་ངོ་།,https://www.bible.com/bible/110/PSA.63.NIRV,https://www.bible.com/bible/1712/PSA.63.TOT11,PSA 63:8
2914,"Then Moses said, “You have done what the Lord has commanded. So the glory of the Lord will appear to you.”",དེ་ནས་མོ་ཤེས་སྨྲས་པ། ཁོང་བཞུགས་ཡོད་པའི་བཀྲག་མདངས་ཀྱི་འོད་དེ་ཁྱོད་ཚོའི་ཙར་མངོན་པར་འགྱུར་བའི་ཆེད་དུ་གཙོ་བོ་དཀོན་མཆོག་གི་ཁྱོད་ཚོར་དེ་ཚོ་ཆང་མ་བྱེད་ཕྱིར་བཀའ་གནང་བ་ཡིན་ནོ།,https://www.bible.com/bible/110/LEV.9.NIRV,https://www.bible.com/bible/1712/LEV.9.TOT11,LEV 9:6
18450,Wild donkeys stand on the bare hilltops. They long for water as wild dogs do. Their eyesight fails because they do not have any food to eat.”,རྐྱང་རྣམས་རི་བོའི་སྟེང་ལངས་ཤིང་། ཁྱི་སྤྱང་བཞིན་དུ་དབུགས་ཐུང་གཏོང་བར་བྱེད། དེ་ཡི་མིག་གི་མཐོང་བའི་ནུས་པ་མེད། གང་ལ་ཟེར་ན་དེ་ཚོར་ཟས་མེད་དོ།,https://www.bible.com/bible/110/JER.14.NIRV,https://www.bible.com/bible/1712/JER.14.TOT11,JER 14:6
19630,But the people of Israel do not want to listen to you. That is because they do not want to listen to me. All the Israelites are very stubborn.,འོན་ཀྱང་ཨིསི་རཱཨེལ་གྱི་མི་མང་སུས་ཀྱང་ཉན་འདོད་མི་བྱེད། དེ་ཚོས་ང་ལ་ཡང་ཉན་པར་མི་བྱེད། དེ་ཚོ་ཚང་མ་སྙིང་གྱོང་པོ་དང་ཨུ་ཚུགས་ཅན་ཡིན་ནོ།,https://www.bible.com/bible/110/EZK.3.NIRV,https://www.bible.com/bible/1712/EZK.3.TOT11,EZK 3:7
14850,In their tents they told the Lord how unhappy they were. They didn’t obey him.,དེ་ཚོས་རང་གི་གུར་ནང་བསྡད་ནས་རྙོག་དྲ་བཤད་པ་དང་། གཙོ་བོ་དཀོན་མཆོག་ཁོང་གི་བཀའ་ལ་མ་ཉན་ནོ།,https://www.bible.com/bible/110/PSA.106.NIRV,https://www.bible.com/bible/1712/PSA.106.TOT11,PSA 106:25
18106,A message from the Lord came to Jeremiah. It came in the 13th year that Josiah was king over Judah. Josiah was the son of Amon.,གཙོ་བོ་དཀོན་མཆོག་གིས་ཨ་མོན་གྱི་སྲས་ཡོ་ཤི་ཡཱ་ཡ་ཧུ་དཱ་པའི་རྒྱལ་པོ་གནང་བའི་ལོ་བཅུ་གསུམ་པར་ཡེར་མི་ཡཱ་ལ་བཀའ་གནང་བ།,https://www.bible.com/bible/110/JER.1.NIRV,https://www.bible.com/bible/1712/JER.1.TOT11,JER 1:2
19075,"But before Jeremiah turned to go, Nebuzaradan continued, “Go back to Gedaliah, the son of Ahikam. The king of Babylon has appointed Gedaliah to be over the towns of Judah. Go and live with him among your people. Or go anywhere else you want to.” Ahikam was the son of Shaphan. The commander gave Jeremiah food and water. He also gave him a gift. Then he let Jeremiah go.",ངས་ལན་འདེབས་གང་ཡང་མ་བྱས་སྟབས། ནེ་བུ་ཛ་ར་དྷན་གྱིས་བྷེ་བྷི་ལོ་ནི་ཡའི་རྒྱལ་པོས་ཡ་ཧུ་དཱའི་གྲོང་ཁྱེར་ཚོའི་སྲིད་སྐྱོངས་པར་བསྐོས་པ་ཤ་ཕན་གྱི་ཚ་བོ་ཨ་ཧི་ཀམ་གྱི་བུ་གྷེ་དལ་ཡཱའི་རྩར་ཕྱིར་སོང་ཞིག ཁྱོད་ཁོ་དང་མཉམ་དུ་མི་མང་གི་ཁྲོད་དུ་བསྡད་ན་སྒྲིགས་པ་དང་། ཡང་ན་ཁྱོད་གང་དུ་འགྲོ་དགོས་བསམ་ན་དེར་སོང་ཞིག་སྨྲས་པ་དང་། དེ་ནས་ཁོས་ང་ལ་རྔན་པ་དང་ཟས་ཕྲན་བུ་སྤྲད་ནས་ང་རང་གི་འདོད་པའི་ལམ་དུ་འགྲོ་རུ་བཅུག་གོ,https://www.bible.com/bible/110/JER.40.NIRV,https://www.bible.com/bible/1712/JER.40.TOT11,JER 40:5
14421,"God, don’t remain silent. Don’t refuse to listen. Do something, God.",ཞལ་ནི་འཚུམ་ནི་མ་བཞུགས་ཀྱེ་དཀོན་མཆོག། ཁུ་སིམ་མེར་མ་བཞུགས་ཅིག་ཁ་རོག་མ་བཞུགས་ཅིག།,https://www.bible.com/bible/110/PSA.83.NIRV,https://www.bible.com/bible/1712/PSA.83.TOT11,PSA 83:1
